'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'0:00.030',0.417,-1.321,-1.739,0.452,1.078,-1.53,0.158,-0.269,-0.144,0.136,0.604,0.541,0.359,-1.006,-0.121
'0:00.031',0.421,-1.32,-1.742,0.449,1.081,-1.53,0.158,-0.269,-0.143,0.136,0.605,0.542,0.36,-1.006,-0.123
'0:00.032',0.419,-1.322,-1.741,0.452,1.08,-1.531,0.156,-0.267,-0.142,0.139,0.606,0.54,0.361,-1.008,-0.124
'0:00.033',0.415,-1.324,-1.74,0.454,1.077,-1.532,0.157,-0.265,-0.14,0.141,0.605,0.538,0.359,-1.009,-0.126
'0:00.034',0.42,-1.323,-1.742,0.451,1.081,-1.532,0.158,-0.263,-0.137,0.141,0.606,0.539,0.359,-1.007,-0.126
'0:00.035',0.424,-1.321,-1.746,0.449,1.085,-1.533,0.157,-0.262,-0.136,0.142,0.607,0.54,0.361,-1.008,-0.127
'0:00.036',0.429,-1.319,-1.748,0.445,1.089,-1.534,0.156,-0.26,-0.134,0.143,0.607,0.542,0.363,-1.007,-0.127
'0:00.037',0.43,-1.321,-1.751,0.445,1.091,-1.536,0.158,-0.257,-0.131,0.146,0.609,0.544,0.366,-1.006,-0.128
'0:00.038',0.433,-1.319,-1.752,0.443,1.093,-1.535,0.159,-0.254,-0.128,0.15,0.611,0.545,0.367,-1.004,-0.129
'0:00.039',0.435,-1.316,-1.751,0.44,1.093,-1.534,0.159,-0.253,-0.126,0.152,0.612,0.546,0.369,-1.003,-0.127
'0:00.040',0.436,-1.315,-1.752,0.439,1.094,-1.533,0.157,-0.251,-0.125,0.153,0.612,0.545,0.369,-1.004,-0.128
'0:00.041',0.434,-1.317,-1.751,0.442,1.093,-1.534,0.159,-0.248,-0.122,0.155,0.611,0.543,0.365,-1.006,-0.13
'0:00.042',0.434,-1.317,-1.751,0.441,1.093,-1.534,0.16,-0.246,-0.121,0.159,0.613,0.542,0.365,-1.007,-0.131
'0:00.043',0.44,-1.312,-1.752,0.436,1.095,-1.532,0.161,-0.245,-0.119,0.159,0.614,0.541,0.366,-1.008,-0.132
'0:00.044',0.438,-1.312,-1.751,0.437,1.095,-1.532,0.163,-0.242,-0.116,0.161,0.614,0.541,0.366,-1.008,-0.132
'0:00.045',0.44,-1.312,-1.752,0.436,1.095,-1.532,0.162,-0.241,-0.115,0.165,0.614,0.542,0.366,-1.004,-0.133
'0:00.046',0.442,-1.31,-1.752,0.434,1.097,-1.531,0.16,-0.239,-0.113,0.166,0.615,0.543,0.368,-1.004,-0.134
'0:00.047',0.44,-1.312,-1.752,0.436,1.095,-1.532,0.16,-0.237,-0.111,0.168,0.617,0.542,0.368,-1.002,-0.136
'0:00.048',0.44,-1.313,-1.752,0.436,1.096,-1.532,0.161,-0.237,-0.11,0.171,0.618,0.543,0.369,-1.002,-0.136
'0:00.049',0.439,-1.313,-1.753,0.437,1.096,-1.533,0.161,-0.235,-0.107,0.172,0.618,0.544,0.372,-1.003,-0.136
'0:00.050',0.439,-1.313,-1.752,0.436,1.095,-1.532,0.163,-0.234,-0.105,0.174,0.619,0.545,0.371,-1.003,-0.137
'0:00.051',0.441,-1.313,-1.754,0.436,1.097,-1.534,0.163,-0.233,-0.105,0.174,0.621,0.545,0.372,-1.005,-0.139
'0:00.052',0.438,-1.317,-1.754,0.439,1.096,-1.535,0.164,-0.232,-0.103,0.174,0.623,0.543,0.371,-1.005,-0.139
'0:00.053',0.438,-1.317,-1.755,0.44,1.097,-1.536,0.164,-0.229,-0.101,0.176,0.622,0.544,0.372,-1.005,-0.138
'0:00.054',0.44,-1.317,-1.756,0.438,1.099,-1.536,0.162,-0.228,-0.1,0.176,0.622,0.543,0.373,-1.005,-0.139
'0:00.055',0.44,-1.314,-1.754,0.436,1.097,-1.534,0.162,-0.227,-0.098,0.178,0.623,0.543,0.372,-1.003,-0.139
'0:00.056',0.444,-1.31,-1.754,0.432,1.099,-1.532,0.162,-0.224,-0.096,0.18,0.623,0.546,0.374,-1,-0.14
'0:00.057',0.445,-1.31,-1.754,0.432,1.099,-1.532,0.164,-0.221,-0.092,0.182,0.624,0.547,0.376,-1.001,-0.141
'0:00.058',0.445,-1.311,-1.756,0.433,1.101,-1.534,0.164,-0.22,-0.091,0.183,0.626,0.548,0.377,-1.003,-0.142
'0:00.059',0.447,-1.311,-1.758,0.432,1.102,-1.534,0.163,-0.218,-0.09,0.185,0.627,0.547,0.378,-1.002,-0.143
'0:00.060',0.447,-1.311,-1.758,0.432,1.102,-1.534,0.164,-0.216,-0.087,0.186,0.627,0.546,0.378,-1.002,-0.142
'0:00.061',0.447,-1.31,-1.757,0.431,1.102,-1.533,0.162,-0.217,-0.087,0.188,0.626,0.545,0.379,-1.003,-0.142
'0:00.062',0.449,-1.31,-1.76,0.43,1.104,-1.534,0.161,-0.216,-0.086,0.19,0.627,0.548,0.381,-1.004,-0.143
'0:00.063',0.451,-1.31,-1.761,0.429,1.106,-1.536,0.163,-0.211,-0.082,0.194,0.63,0.547,0.382,-1.003,-0.143
'0:00.064',0.451,-1.31,-1.76,0.429,1.105,-1.534,0.164,-0.209,-0.079,0.197,0.63,0.547,0.382,-1.002,-0.145
'0:00.065',0.448,-1.31,-1.758,0.43,1.103,-1.534,0.163,-0.208,-0.078,0.196,0.63,0.548,0.382,-1.004,-0.146
'0:00.066',0.449,-1.308,-1.756,0.429,1.103,-1.532,0.162,-0.206,-0.076,0.196,0.629,0.547,0.382,-1.002,-0.145
'0:00.067',0.454,-1.304,-1.758,0.425,1.106,-1.531,0.162,-0.204,-0.074,0.199,0.63,0.547,0.383,-1.002,-0.146
'0:00.068',0.453,-1.302,-1.754,0.424,1.103,-1.528,0.163,-0.203,-0.073,0.202,0.63,0.548,0.385,-0.999,-0.147
'0:00.069',0.451,-1.304,-1.754,0.426,1.103,-1.528,0.163,-0.201,-0.072,0.204,0.631,0.55,0.387,-1,-0.147
'0:00.070',0.454,-1.303,-1.756,0.424,1.105,-1.53,0.163,-0.198,-0.069,0.208,0.634,0.55,0.386,-1,-0.149
'0:00.071',0.454,-1.302,-1.756,0.424,1.105,-1.528,0.163,-0.196,-0.067,0.211,0.634,0.549,0.387,-1,-0.15
'0:00.072',0.455,-1.302,-1.756,0.424,1.105,-1.529,0.162,-0.195,-0.065,0.212,0.634,0.548,0.388,-1,-0.151
'0:00.073',0.454,-1.302,-1.756,0.424,1.105,-1.528,0.162,-0.193,-0.062,0.213,0.634,0.548,0.388,-1,-0.152
'0:00.074',0.453,-1.302,-1.755,0.424,1.104,-1.528,0.162,-0.19,-0.059,0.216,0.636,0.548,0.389,-1,-0.153
'0:00.075',0.453,-1.298,-1.752,0.422,1.103,-1.525,0.165,-0.186,-0.056,0.222,0.64,0.549,0.389,-0.999,-0.154
'0:00.076',0.456,-1.299,-1.754,0.421,1.105,-1.526,0.166,-0.182,-0.052,0.224,0.641,0.55,0.389,-0.998,-0.155
'0:00.077',0.459,-1.299,-1.758,0.419,1.109,-1.528,0.165,-0.183,-0.053,0.223,0.639,0.549,0.39,-0.997,-0.157
'0:00.078',0.459,-1.297,-1.756,0.418,1.107,-1.526,0.166,-0.181,-0.051,0.226,0.641,0.551,0.39,-0.996,-0.158
'0:00.079',0.459,-1.296,-1.755,0.418,1.107,-1.525,0.166,-0.176,-0.045,0.229,0.642,0.552,0.391,-0.996,-0.159
'0:00.080',0.46,-1.295,-1.755,0.417,1.107,-1.524,0.167,-0.175,-0.044,0.231,0.643,0.552,0.393,-0.995,-0.16
'0:00.081',0.463,-1.296,-1.759,0.416,1.111,-1.528,0.165,-0.173,-0.043,0.233,0.645,0.554,0.396,-0.995,-0.16
'0:00.082',0.465,-1.297,-1.762,0.416,1.113,-1.529,0.165,-0.171,-0.04,0.236,0.646,0.556,0.398,-0.996,-0.162
'0:00.083',0.463,-1.298,-1.762,0.417,1.113,-1.53,0.166,-0.169,-0.037,0.238,0.647,0.556,0.396,-0.999,-0.163
'0:00.084',0.461,-1.3,-1.76,0.419,1.111,-1.53,0.166,-0.166,-0.035,0.24,0.647,0.555,0.397,-0.998,-0.163
'0:00.085',0.464,-1.298,-1.762,0.417,1.113,-1.53,0.165,-0.163,-0.032,0.241,0.648,0.557,0.399,-0.997,-0.163
'0:00.086',0.469,-1.296,-1.766,0.413,1.117,-1.53,0.166,-0.163,-0.029,0.244,0.65,0.559,0.402,-0.998,-0.162
'0:00.087',0.468,-1.296,-1.764,0.413,1.115,-1.53,0.168,-0.157,-0.024,0.247,0.651,0.558,0.402,-0.997,-0.164
'0:00.088',0.466,-1.297,-1.762,0.415,1.114,-1.53,0.168,-0.153,-0.021,0.249,0.652,0.559,0.402,-0.998,-0.164
'0:00.089',0.469,-1.296,-1.764,0.413,1.116,-1.53,0.167,-0.152,-0.018,0.253,0.654,0.562,0.405,-0.997,-0.164
'0:00.090',0.471,-1.292,-1.764,0.41,1.117,-1.528,0.17,-0.148,-0.015,0.256,0.656,0.562,0.406,-0.998,-0.166
'0:00.091',0.472,-1.291,-1.763,0.409,1.117,-1.527,0.171,-0.144,-0.012,0.26,0.657,0.561,0.406,-1,-0.167
'0:00.092',0.474,-1.292,-1.766,0.408,1.12,-1.528,0.172,-0.141,-0.007,0.262,0.658,0.562,0.406,-0.998,-0.169
'0:00.093',0.476,-1.294,-1.77,0.408,1.123,-1.531,0.173,-0.139,-0.005,0.265,0.659,0.562,0.406,-1,-0.17
'0:00.094',0.477,-1.294,-1.771,0.408,1.124,-1.532,0.174,-0.135,-0.003,0.268,0.662,0.562,0.407,-1.002,-0.171
'0:00.095',0.48,-1.292,-1.772,0.405,1.126,-1.532,0.174,-0.132,0.001,0.27,0.666,0.564,0.41,-0.999,-0.172
'0:00.096',0.485,-1.29,-1.775,0.402,1.131,-1.532,0.173,-0.129,0.005,0.275,0.668,0.564,0.411,-0.999,-0.172
'0:00.097',0.486,-1.288,-1.774,0.401,1.13,-1.531,0.174,-0.125,0.009,0.277,0.67,0.567,0.413,-0.998,-0.173
'0:00.098',0.485,-1.288,-1.774,0.401,1.13,-1.53,0.173,-0.123,0.011,0.279,0.669,0.567,0.414,-0.996,-0.174
'0:00.099',0.487,-1.29,-1.777,0.401,1.132,-1.533,0.172,-0.121,0.014,0.281,0.67,0.566,0.414,-0.999,-0.175
'0:00.100',0.487,-1.29,-1.776,0.401,1.132,-1.532,0.173,-0.117,0.018,0.286,0.671,0.565,0.414,-0.997,-0.177
'0:00.101',0.487,-1.288,-1.774,0.401,1.131,-1.531,0.174,-0.113,0.021,0.29,0.67,0.565,0.414,-0.997,-0.179
'0:00.102',0.489,-1.286,-1.775,0.398,1.132,-1.53,0.174,-0.11,0.023,0.292,0.671,0.562,0.416,-0.997,-0.18
'0:00.103',0.491,-1.285,-1.777,0.397,1.135,-1.53,0.175,-0.106,0.028,0.295,0.673,0.565,0.417,-0.995,-0.182
'0:00.104',0.494,-1.284,-1.778,0.395,1.136,-1.53,0.177,-0.102,0.033,0.299,0.676,0.569,0.42,-0.996,-0.183
'0:00.105',0.496,-1.283,-1.779,0.393,1.137,-1.53,0.176,-0.099,0.035,0.301,0.677,0.571,0.424,-0.995,-0.183
'0:00.106',0.494,-1.283,-1.778,0.394,1.137,-1.53,0.177,-0.094,0.039,0.303,0.679,0.572,0.425,-0.995,-0.184
'0:00.107',0.496,-1.282,-1.778,0.392,1.137,-1.53,0.178,-0.09,0.043,0.307,0.681,0.573,0.428,-0.993,-0.185
'0:00.108',0.497,-1.283,-1.78,0.393,1.139,-1.532,0.177,-0.087,0.046,0.31,0.683,0.571,0.429,-0.994,-0.188
'0:00.109',0.498,-1.281,-1.779,0.391,1.139,-1.53,0.176,-0.084,0.05,0.314,0.684,0.571,0.431,-0.994,-0.19
'0:00.110',0.5,-1.278,-1.779,0.389,1.139,-1.528,0.177,-0.079,0.056,0.32,0.69,0.574,0.435,-0.993,-0.192
'0:00.111',0.503,-1.277,-1.781,0.387,1.142,-1.529,0.177,-0.074,0.059,0.323,0.693,0.574,0.437,-0.992,-0.194
'0:00.112',0.508,-1.275,-1.783,0.383,1.145,-1.528,0.177,-0.07,0.062,0.327,0.694,0.575,0.44,-0.988,-0.196
'0:00.113',0.508,-1.277,-1.785,0.384,1.147,-1.531,0.178,-0.066,0.068,0.332,0.695,0.574,0.44,-0.989,-0.196
'0:00.114',0.513,-1.274,-1.788,0.381,1.151,-1.53,0.177,-0.063,0.071,0.334,0.698,0.573,0.441,-0.988,-0.198
'0:00.115',0.514,-1.274,-1.788,0.38,1.151,-1.53,0.178,-0.058,0.076,0.338,0.699,0.574,0.443,-0.988,-0.201
'0:00.116',0.508,-1.276,-1.784,0.384,1.147,-1.53,0.179,-0.053,0.08,0.341,0.699,0.572,0.44,-0.99,-0.201
'0:00.117',0.514,-1.273,-1.787,0.379,1.151,-1.53,0.18,-0.051,0.085,0.345,0.702,0.573,0.442,-0.989,-0.202
'0:00.118',0.513,-1.274,-1.786,0.381,1.149,-1.53,0.181,-0.044,0.091,0.348,0.704,0.576,0.444,-0.988,-0.204
'0:00.119',0.512,-1.273,-1.786,0.38,1.149,-1.529,0.181,-0.039,0.096,0.351,0.706,0.576,0.444,-0.987,-0.206
'0:00.120',0.518,-1.269,-1.788,0.375,1.153,-1.528,0.183,-0.034,0.102,0.357,0.709,0.575,0.446,-0.984,-0.208
'0:00.121',0.52,-1.266,-1.787,0.373,1.153,-1.526,0.185,-0.027,0.107,0.361,0.711,0.576,0.446,-0.981,-0.211
'0:00.122',0.524,-1.263,-1.788,0.369,1.156,-1.525,0.184,-0.024,0.112,0.366,0.712,0.576,0.448,-0.982,-0.212
'0:00.123',0.523,-1.264,-1.787,0.37,1.155,-1.525,0.183,-0.021,0.115,0.37,0.712,0.576,0.448,-0.985,-0.213
'0:00.124',0.526,-1.264,-1.79,0.369,1.158,-1.527,0.184,-0.015,0.119,0.374,0.714,0.577,0.452,-0.987,-0.214
'0:00.125',0.53,-1.262,-1.792,0.365,1.161,-1.526,0.185,-0.009,0.126,0.382,0.718,0.58,0.457,-0.983,-0.217
'0:00.126',0.532,-1.26,-1.792,0.363,1.163,-1.526,0.187,-0.003,0.133,0.388,0.721,0.581,0.457,-0.979,-0.222
'0:00.127',0.533,-1.26,-1.793,0.363,1.163,-1.526,0.189,0.003,0.138,0.392,0.722,0.581,0.457,-0.976,-0.224
'0:00.128',0.532,-1.263,-1.795,0.365,1.163,-1.529,0.189,0.006,0.141,0.395,0.722,0.58,0.457,-0.978,-0.226
'0:00.129',0.532,-1.262,-1.796,0.365,1.164,-1.529,0.188,0.013,0.149,0.401,0.725,0.582,0.459,-0.98,-0.228
'0:00.130',0.535,-1.259,-1.794,0.361,1.165,-1.526,0.19,0.019,0.155,0.406,0.728,0.583,0.463,-0.979,-0.231
'0:00.131',0.536,-1.259,-1.796,0.36,1.167,-1.528,0.192,0.026,0.162,0.411,0.731,0.583,0.463,-0.977,-0.233
'0:00.132',0.535,-1.26,-1.796,0.362,1.167,-1.528,0.194,0.033,0.169,0.417,0.733,0.583,0.463,-0.976,-0.236
'0:00.133',0.533,-1.261,-1.794,0.363,1.164,-1.528,0.195,0.039,0.174,0.423,0.736,0.587,0.466,-0.976,-0.237
'0:00.134',0.531,-1.26,-1.792,0.364,1.162,-1.526,0.195,0.044,0.181,0.428,0.738,0.59,0.469,-0.974,-0.238
'0:00.135',0.536,-1.261,-1.798,0.362,1.167,-1.529,0.196,0.051,0.186,0.43,0.737,0.586,0.469,-0.977,-0.242
'0:00.136',0.542,-1.259,-1.802,0.358,1.173,-1.53,0.198,0.058,0.193,0.436,0.739,0.588,0.471,-0.979,-0.244
'0:00.137',0.545,-1.256,-1.802,0.355,1.173,-1.529,0.2,0.066,0.201,0.442,0.741,0.589,0.473,-0.976,-0.247
'0:00.138',0.545,-1.256,-1.802,0.355,1.174,-1.529,0.201,0.072,0.208,0.447,0.744,0.588,0.475,-0.975,-0.248
'0:00.139',0.548,-1.256,-1.804,0.353,1.177,-1.53,0.202,0.08,0.215,0.453,0.745,0.591,0.479,-0.974,-0.25
'0:00.140',0.549,-1.256,-1.806,0.352,1.179,-1.531,0.202,0.086,0.222,0.458,0.746,0.591,0.479,-0.975,-0.254
'0:00.141',0.552,-1.254,-1.806,0.351,1.179,-1.53,0.204,0.091,0.228,0.465,0.75,0.591,0.481,-0.974,-0.257
'0:00.142',0.556,-1.254,-1.81,0.348,1.183,-1.532,0.205,0.098,0.234,0.47,0.751,0.593,0.485,-0.973,-0.259
'0:00.143',0.556,-1.254,-1.81,0.348,1.183,-1.532,0.206,0.103,0.239,0.476,0.753,0.593,0.486,-0.973,-0.262
'0:00.144',0.559,-1.25,-1.81,0.345,1.185,-1.53,0.207,0.11,0.246,0.482,0.755,0.593,0.489,-0.972,-0.263
'0:00.145',0.564,-1.248,-1.812,0.342,1.188,-1.53,0.208,0.117,0.253,0.488,0.758,0.596,0.493,-0.971,-0.266
'0:00.146',0.567,-1.246,-1.813,0.34,1.19,-1.53,0.21,0.123,0.26,0.493,0.761,0.596,0.494,-0.969,-0.269
'0:00.147',0.573,-1.243,-1.817,0.335,1.194,-1.53,0.21,0.129,0.267,0.499,0.763,0.597,0.497,-0.968,-0.271
'0:00.148',0.577,-1.242,-1.82,0.333,1.198,-1.531,0.211,0.137,0.274,0.505,0.764,0.598,0.499,-0.966,-0.273
'0:00.149',0.578,-1.245,-1.823,0.334,1.2,-1.534,0.212,0.142,0.279,0.51,0.765,0.598,0.501,-0.968,-0.274
'0:00.150',0.584,-1.242,-1.825,0.329,1.204,-1.533,0.213,0.147,0.285,0.517,0.768,0.601,0.505,-0.968,-0.277
'0:00.151',0.585,-1.238,-1.823,0.326,1.204,-1.53,0.215,0.155,0.292,0.523,0.771,0.602,0.506,-0.966,-0.281
'0:00.152',0.586,-1.236,-1.822,0.325,1.204,-1.529,0.218,0.162,0.299,0.529,0.773,0.603,0.508,-0.964,-0.283
'0:00.153',0.591,-1.234,-1.825,0.321,1.208,-1.529,0.222,0.17,0.307,0.535,0.778,0.607,0.511,-0.958,-0.286
'0:00.154',0.592,-1.231,-1.823,0.319,1.208,-1.528,0.222,0.176,0.314,0.542,0.78,0.607,0.512,-0.958,-0.289
'0:00.155',0.596,-1.229,-1.825,0.317,1.21,-1.527,0.224,0.182,0.321,0.548,0.785,0.608,0.515,-0.958,-0.291
'0:00.156',0.596,-1.227,-1.823,0.315,1.21,-1.525,0.226,0.19,0.329,0.554,0.789,0.608,0.515,-0.958,-0.295
'0:00.157',0.598,-1.222,-1.821,0.312,1.21,-1.522,0.23,0.198,0.336,0.562,0.792,0.611,0.518,-0.96,-0.299
'0:00.158',0.601,-1.22,-1.822,0.309,1.212,-1.521,0.234,0.203,0.342,0.567,0.794,0.611,0.519,-0.959,-0.301
'0:00.159',0.6,-1.222,-1.823,0.31,1.212,-1.522,0.234,0.208,0.345,0.57,0.793,0.609,0.519,-0.956,-0.303
'0:00.160',0.6,-1.225,-1.825,0.312,1.212,-1.524,0.233,0.211,0.349,0.574,0.794,0.607,0.52,-0.957,-0.305
'0:00.161',0.602,-1.224,-1.827,0.31,1.214,-1.525,0.234,0.217,0.355,0.578,0.795,0.609,0.522,-0.959,-0.307
'0:00.162',0.605,-1.22,-1.826,0.307,1.216,-1.523,0.237,0.225,0.362,0.585,0.8,0.613,0.526,-0.956,-0.31
'0:00.163',0.604,-1.22,-1.823,0.307,1.214,-1.522,0.24,0.232,0.367,0.589,0.804,0.614,0.526,-0.954,-0.314
'0:00.164',0.605,-1.22,-1.825,0.307,1.216,-1.522,0.241,0.237,0.374,0.594,0.806,0.614,0.527,-0.954,-0.317
'0:00.165',0.607,-1.222,-1.829,0.307,1.218,-1.525,0.243,0.241,0.379,0.598,0.807,0.613,0.527,-0.952,-0.32
'0:00.166',0.62,-1.213,-1.833,0.296,1.227,-1.523,0.244,0.249,0.385,0.604,0.81,0.614,0.529,-0.951,-0.322
'0:00.167',0.63,-1.202,-1.833,0.286,1.232,-1.518,0.247,0.256,0.393,0.611,0.815,0.615,0.53,-0.95,-0.324
'0:00.168',0.623,-1.208,-1.831,0.292,1.228,-1.52,0.246,0.258,0.395,0.613,0.814,0.612,0.528,-0.953,-0.325
'0:00.169',0.622,-1.212,-1.833,0.294,1.228,-1.522,0.248,0.263,0.4,0.615,0.816,0.61,0.527,-0.952,-0.327
'0:00.170',0.623,-1.21,-1.833,0.293,1.228,-1.522,0.251,0.268,0.405,0.619,0.821,0.614,0.531,-0.949,-0.331
'0:00.171',0.623,-1.213,-1.836,0.294,1.23,-1.524,0.252,0.274,0.409,0.623,0.825,0.616,0.534,-0.954,-0.332
'0:00.172',0.625,-1.212,-1.837,0.293,1.231,-1.524,0.252,0.277,0.413,0.625,0.825,0.616,0.535,-0.954,-0.333
'0:00.173',0.626,-1.212,-1.839,0.292,1.233,-1.525,0.253,0.281,0.416,0.627,0.828,0.619,0.537,-0.953,-0.335
'0:00.174',0.627,-1.21,-1.838,0.291,1.232,-1.524,0.258,0.288,0.424,0.633,0.832,0.623,0.539,-0.951,-0.338
'0:00.175',0.625,-1.21,-1.835,0.292,1.23,-1.522,0.259,0.292,0.429,0.636,0.833,0.625,0.542,-0.95,-0.339
'0:00.176',0.623,-1.212,-1.836,0.294,1.23,-1.524,0.258,0.294,0.43,0.639,0.833,0.625,0.543,-0.951,-0.34
'0:00.177',0.625,-1.212,-1.838,0.293,1.232,-1.525,0.258,0.297,0.433,0.642,0.836,0.626,0.545,-0.95,-0.342
'0:00.178',0.628,-1.212,-1.84,0.291,1.234,-1.526,0.261,0.304,0.44,0.647,0.836,0.626,0.547,-0.952,-0.344
'0:00.179',0.631,-1.21,-1.841,0.289,1.236,-1.526,0.261,0.305,0.442,0.647,0.837,0.625,0.546,-0.95,-0.344
'0:00.180',0.632,-1.21,-1.843,0.288,1.238,-1.526,0.263,0.308,0.444,0.649,0.84,0.626,0.547,-0.95,-0.347
'0:00.181',0.631,-1.209,-1.841,0.288,1.236,-1.524,0.267,0.314,0.45,0.654,0.84,0.624,0.546,-0.949,-0.349
'0:00.182',0.631,-1.208,-1.839,0.288,1.236,-1.524,0.27,0.317,0.453,0.655,0.841,0.623,0.544,-0.948,-0.351
'0:00.183',0.628,-1.213,-1.841,0.292,1.235,-1.527,0.272,0.319,0.456,0.659,0.842,0.625,0.545,-0.952,-0.352
'0:00.184',0.629,-1.212,-1.841,0.291,1.236,-1.526,0.272,0.324,0.458,0.662,0.843,0.628,0.547,-0.951,-0.353
'0:00.185',0.631,-1.211,-1.843,0.289,1.238,-1.527,0.273,0.325,0.461,0.664,0.842,0.627,0.547,-0.951,-0.355
'0:00.186',0.631,-1.211,-1.843,0.289,1.238,-1.527,0.272,0.324,0.461,0.663,0.84,0.625,0.545,-0.949,-0.356
'0:00.187',0.63,-1.213,-1.844,0.291,1.238,-1.528,0.273,0.329,0.463,0.662,0.839,0.625,0.545,-0.948,-0.356
'0:00.188',0.628,-1.216,-1.845,0.293,1.237,-1.53,0.275,0.332,0.468,0.666,0.84,0.626,0.545,-0.949,-0.358
